,price,floor,bedroomCount,netHabitableSurface,bathroomCount,condition
935,229000,0,1,61,1,0
936,219900,1,1,60,1,3
937,159000,1,1,60,1,5
938,248000,0,2,105,1,4
939,699000,3,2,210,1,5
940,299000,0,3,161,1,4
941,98000,0,1,45,1,4
945,349000,0,2,130,1,4
946,240000,0,1,81,1,3
947,415000,1,3,119,1,4
948,485000,5,3,145,1,4
949,650000,4,3,160,2,5
950,199000,2,1,62,1,3
951,600000,1,3,170,2,5
956,279000,1,2,83,1,5
959,230000,2,2,92,1,4
960,219000,10,3,100,1,4
963,345000,2,2,81,1,4
965,472500,0,3,106,2,4
967,395000,1,2,155,1,4
968,444500,0,3,106,2,4
969,275000,4,2,93,1,4
971,369000,0,1,40,1,4
972,449000,0,4,168,1,4
974,250000,2,2,96,1,4
975,159000,1,1,45,1,0
977,350000,0,2,74,1,5
978,249000,5,3,90,1,5
979,230000,1,2,115,1,4
981,260000,4,2,129,1,4
982,125000,2,0,44,1,4
984,225000,1,1,49,1,5
986,500000,0,1,113,1,5
987,259000,2,2,89,1,4
988,185000,1,3,122,1,0
989,225000,2,2,93,1,4
990,330000,1,1,64,1,5
991,1495000,0,3,246,3,5
992,225000,0,2,86,1,3
993,499000,4,3,145,1,5
994,279000,1,2,87,1,4
995,249000,0,2,80,1,5
996,460000,2,2,119,1,0
998,179000,1,2,73,1,4
1011,159000,3,2,71,1,4
1012,480000,2,2,108,1,4
1014,590000,3,3,152,1,4
1015,219000,6,2,73,1,4
1016,220000,4,2,96,1,5
1018,299000,0,1,92,1,4
1020,549000,3,3,202,3,4
1021,179500,1,1,62,1,3
1023,200000,0,2,104,1,0
1029,270000,0,2,92,1,4
1030,675000,0,2,145,1,5
1031,254000,1,2,85,1,5
1032,225000,6,3,87,1,0
1033,239000,1,2,76,1,5
1034,395000,2,2,104,2,4
1035,398000,2,3,154,1,5
1036,520000,6,2,110,2,4
1038,305000,1,2,88,1,4
1039,345000,3,3,134,2,4
1040,195000,0,1,52,1,3
1041,249000,4,1,65,1,2
1042,270000,2,1,80,1,4
1044,432500,0,2,107,1,4
1046,335000,5,3,123,1,4
1047,249000,0,2,98,1,4
1048,1000000,8,3,167,2,5
1049,189000,7,2,78,1,5
1050,325604,2,1,83,1,4
1051,325000,0,2,126,1,3
1052,359000,1,2,90,1,5
1054,465000,0,3,145,1,4
1057,280000,1,2,101,1,4
1061,159000,2,0,25,1,5
1063,289000,1,2,90,1,5
1064,249000,2,2,98,1,4
1065,349000,1,3,125,1,4
1067,495000,0,3,121,2,5
1069,239000,2,2,75,1,4
1073,345000,1,2,110,1,5
1075,495000,1,2,150,1,5
1077,312000,2,2,80,1,0
1078,185000,0,2,73,1,4
1079,290000,0,3,111,1,2
1080,205000,9,2,91,1,0
1082,184000,3,1,50,1,4
1085,315000,2,3,100,1,3
1087,329000,1,3,100,1,3
1088,399000,0,2,83,1,4
